a|\ˈā\
aah|\ˈä, often prolonged and/or followed by ə\
aahed|\ˈä, often prolonged and/or followed by ə\
aahing|\ˈä, often prolonged and/or followed by ə\
aahs|\ˈä, often prolonged and/or followed by ə\
aardvark|\ˈärd-ˌvärk\
aardvarks|\ˈärd-ˌvärk\
aardwolf|\-ˌwu̇lf\
ab|\ˈab\
abaci|\ˈa-bə-kəs, ə-ˈba-\
aback|\ə-ˈbak\
abacus|\ˈa-bə-kəs, ə-ˈba-\
abacuses|\ˈa-bə-kəs, ə-ˈba-\
abaft|\ə-ˈbaft\
abalone|\ˌa-bə-ˈlō-nē, ˈa-bə-ˌ\
abalones|\ˌa-bə-ˈlō-nē, ˈa-bə-ˌ\
abandon|\ə-ˈban-dən\
abandoned|\ə-ˈban-dənd\
abandoner|\ə-ˈban-dən\
abandoners|\ə-ˈban-dən\
abandoning|\ə-ˈban-dən\
abandonment|\ə-ˈban-dən\
abandonments|\ə-ˈban-dən\
abandons|\ə-ˈban-dən\
abase|\ə-ˈbās\
abased|\ə-ˈbās\
abasement|\ə-ˈbās\
abases|\ə-ˈbās\
abash|\ə-ˈbash\
abashed|\ə-ˈbash\
abashes|\ə-ˈbash\
abashing|\ə-ˈbash\
abashment|\ə-ˈbash\
abashments|\ə-ˈbash\
abasing|\ə-ˈbās\
abate|\ə-ˈbāt\
abated|\ə-ˈbāt\
abatement|\ə-ˈbāt-mənt\
abatements|\ə-ˈbāt-mənt\
abater|\ə-ˈbāt\
abaters|\ə-ˈbāt\
abates|\ə-ˈbāt\
abating|\ə-ˈbāt\
abatis|\ˈa-bə-ˌtē, ˈa-bə-təs\
abatises|\ˈa-bə-ˌtē, ˈa-bə-təs\
abattoir|\ˈa-bə-ˌtwär, -ˌtwȯr, -ˌtȯr\
abattoirs|\ˈa-bə-ˌtwär, -ˌtwȯr, -ˌtȯr\
abbacies|\ˈa-bə-sē\
abbacy|\ˈa-bə-sē\
abbatial|\ə-ˈbā-shəl, a-\
abbe|\a-ˈbā, ˈa-ˌbā\
abbes|\a-ˈbā, ˈa-ˌbā\
abbess|\ˈa-bəs\
abbesses|\ˈa-bəs\
abbey|\ˈa-bē\
abbeys|\ˈa-bē\
abbot|\ˈa-bət\
abbots|\ˈa-bət\
abbott|\ˈa-bət\
abbreviate|\ə-ˈbrē-vē-ˌāt\
abbreviated|\ə-ˈbrē-vē-ˌāt\
abbreviates|\ə-ˈbrē-vē-ˌāt\
abbreviating|\ə-ˈbrē-vē-ˌāt\
abbreviation|\ə-ˌbrē-vē-ˈā-shən\
abbreviations|\ə-ˌbrē-vē-ˈā-shən\
abbreviator|\ə-ˈbrē-vē-ˌāt\
abbreviators|\ə-ˈbrē-vē-ˌāt\
abc|\ˌā-(ˌ)bē-ˈsē\
abdicable|\ˈab-di-ˌkāt\
abdicate|\ˈab-di-ˌkāt\
abdicated|\ˈab-di-ˌkāt\
abdicates|\ˈab-di-ˌkāt\
abdicating|\ˈab-di-ˌkāt\
abdication|\ˈab-di-ˌkāt\
abdications|\ˈab-di-ˌkāt\
abdicator|\ˈab-di-ˌkāt\
abdomen|\ˈab-də-mən, -ˌdō-; əb-ˈdō-mən, ab-\
abdomens|\ˈab-də-mən, -ˌdō-; əb-ˈdō-mən, ab-\
abdominal|\ˈab-də-mən, -ˌdō-; əb-ˈdō-mən, ab-\
abdominally|\ˈab-də-mən, -ˌdō-; əb-ˈdō-mən, ab-\
abduct|\ab-ˈdəkt, əb-; 2 also ˈab-ˌ\
abducted|\ab-ˈdəkt, əb-; 2 also ˈab-ˌ\
abducting|\ab-ˈdəkt, əb-; 2 also ˈab-ˌ\
abduction|\ab-ˈdək-shən, əb-\
abductions|\ab-ˈdək-shən, əb-\
abductor|\ab-ˈdəkt, əb-; 2 also ˈab-ˌ\
abductors|\ab-ˈdəkt, əb-; 2 also ˈab-ˌ\
abducts|\ab-ˈdəkt, əb-; 2 also ˈab-ˌ\
abeam|\ə-ˈbēm\
abecedarian|\ˌā-bē-(ˌ)sē-ˈder-ē-ən\
abecedarians|\ˌā-bē-(ˌ)sē-ˈder-ē-ən\
abed|\ə-ˈbed\
aberdeen|\ˈa-bər-ˌdēn\
aberrance|\a-ˈber-ənt, ə-, -ˈbe-rənt; ˈa-bə-rənt, -ˌber-ənt, -ˌbe-rənt\
aberrancies|\a-ˈber-ənt, ə-, -ˈbe-rənt; ˈa-bə-rənt, -ˌber-ənt, -ˌbe-rənt\
aberrancy|\a-ˈber-ənt, ə-, -ˈbe-rənt; ˈa-bə-rənt, -ˌber-ənt, -ˌbe-rənt\
aberrant|\a-ˈber-ənt, ə-, -ˈbe-rənt; ˈa-bə-rənt, -ˌber-ənt, -ˌbe-rənt\
aberrantly|\a-ˈber-ənt, ə-, -ˈbe-rənt; ˈa-bə-rənt, -ˌber-ənt, -ˌbe-rənt\
aberrants|\a-ˈber-ənt, ə-, -ˈbe-rənt; ˈa-bə-rənt, -ˌber-ənt, -ˌbe-rənt\
aberration|\ˌa-bə-ˈrā-shən\
aberrational|\ˌa-bə-ˈrā-shən\
aberrations|\ˌa-bə-ˈrā-shən\
abet|\ə-ˈbet\
abetment|\ə-ˈbet\
abets|\ə-ˈbet\
abetted|\ə-ˈbet\
abetter|\ə-ˈbet\
abetters|\ə-ˈbet\
abetting|\ə-ˈbet\
abettor|\ə-ˈbet\
abettors|\ə-ˈbet\
abeyance|\ə-ˈbā-ən(t)s\
abeyances|\ə-ˈbā-ən(t)s\
abeyant|\ə-ˈbā-ən(t)s\
abhor|\əb-ˈhȯr, ab-\
abhorred|\əb-ˈhȯr, ab-\
